termTitle,part-of-language,partOfDefinition
b?sak?chi,(v),"to snap, crack repeatedly (as trees snapping with weight of ice), munch repeatedly, crunch (ice, etc.), to crackle, pop (of burning wood, etc.)"
b?sha,(v),"to be cut, sliced"
b?shali,(v),to make (someone) suffer
b?shi,(v),"to wither, wilt"
b?shli,(v),"to cut, slash, slice (someone or something)"
b?shpo,(n),knife
b?shpo isht impa,(n),"a knife for eating: table knife, steak knife"
b?sht t?bli,(v),"to cut off (a limb, branch, etc.), amputate (a body part)"
b?shto,(n),
b?ska,(v),to gamble
b?ska,(n),a gambler
,,
cha,,"and, and then: a marker appearing after a verb and used to connect two sentences sharing the same subject"
chaha,(v),to be tall
chaha,(adj),"high, tall"
chahe,(n),hoe
chahlak! achi,(v),"to click, make a metallic sound (of a key in a door, a mousetrap, a gun being cocked, etc.)"
chahlak?chi,(v),"to click repeatedly, make a clicking noise (as a gun lock without firing)"
Chahta,(n),Choctaw
Chahta alikchi,(n),Choctaw medicine man or woman
Chahta alikchi im okhi?sh,(n),Choctaw medicine
Chahta anumpa,(n),the Choctaw language
Chahta Okla,(n),the Choctaw Nation
chah?chi,(v),"to raise (a car, etc.), elevate, heighten, make (the voice) go higher or louder"
chah?t ishtia,(v),"to start to grow taller, to rise (of water, etc.)"
chah?t maha?ya,(v),"to get taller, grow"
chah?t taha,(v),to be grown up
chakkali,(num),nine
chala?ka,(v),"to scream (of a person), squeal (of a pig, etc.)"
Chalakki,(n),Cherokee
champulechi,(v),to sweeten (something)
champuli,(v),to be sweet
champuli,(adj),sweet
chanli,(v),"to chop (wood), peck (of a bird)"
Chanuali,(n),January
cha?sa,(v),"to be shrill, sharp, piercing (of a panther's cry, etc.)"
chasoha,(v),"to rattle, jingle (as of coins or a chain)"
chasoh?chi,(v),"to make a rattling noise (as of a chain), jingle (as of coins)"
chatok,,a marker appearing after a verb and meaning ?usually’ in the distant past
chatuk,,"a marker appearing after a verb and meaning ?usually’, ?commonly’, ?customarily’, or ‘habitually’ in the present or recent past"
cha?wa,(n),to rumble (of the stomach)
cha?ya,(v),"to be chopped (of wood, etc.)"
chechik,,"perhaps, possibly, probably, likely"
chekusikma?,(adv),"in a little while, soon, in a short time"
cheli,(v),"to give birth (of an animal, etc.), bear, lay (an egg or eggs, as of a bird or snake)"
chi,,a marker appearing before a verb and meaning ?you’
chieto,(v),to be extremely large
Chihowa,(n),"God, Jehovah"
chik,,second person negative marker appearing before a verb: ‘you (do not)’
Chikasha,(n),Chickasaw
chikchik,(n),
chikchiki,(v),to be speckled
chikchiki,(adj),"speckled (of a bird), freckled"
chikki?ha,(v),"to jab, poke (something)"
chiks?nali,(v),to
chilakwa,(n),"small pox, chicken pox"
chili?ka,(v),"to make a high-pitched yell, shriek, or scream"
chiliswa,(n),measles
chilita,(v),"to be ardent, animated, zealous (in the Bible)"
chilofa,(v),"to fall off, drop off (of leaves, nuts, etc.)"
chiluhka,(v),to shell (corn)
chiluk,(n),a hole
chim,,a possessive marker appearing before a noun and meaning ?your’
chim achukma??,(v),are you well? how are you? (as a greeting)
chimmi,(pro),yours
china?fula,(n),
chinchish,(n),bed bug
chiniffi,(v),to pinch (someone)
chiponta,(adj),"small (of two or more), tiny"
chisha,(n),post oak
chishakko,(n),brush arbor
chishba,(v),"to be doubtful, uncertain: perhaps, possibly"
chishikta,(n),
chishno,(pro),you
chishno ak kia,(pro),"you too, you also"
chisimowa,(v),"to stretch (the arms, limbs, etc.)"
chiskilik,(n),blackjack oak
chito,(adj),"big, large, great, huge (of one)"
Chitokaka,(n),Lord
chitoli,(v),"to be loud (of a piano, singing, etc.)"
chitolichi,(v),"to enlarge (something), make bigger, dilate, extend"
chitot maha?ya,(v),to be getting bigger (like a pregnant woman)
chiya,(v),(two) to sit down
chi?ya,(v),(two) to be sitting
chiyyohmi,,"really (do an action), (being) a lot, a great deal, very much"
choboh?chi,(v),"to roar (as of a waterfall, train, etc.)"
chobok! achi,(v),"to splash (once), make a splash"
chobok?chi,(v),"to splash around, slosh, gurgle, bubble (as water running over a rock), make the noise of an object falling into water"
chohmi,,"slightly (do an action), (being) a little, somewhat"
chompa,(v),to buy (something)
chuahla,(n),cedar
chufak,(n),"a sharp tool: fork, nail, ice pick, awl, etc."
chufak isht impa,(n),"fork (for eating), table fork"
chufak isht piha,(n),pitchfork
chufak ushi,(n),needle
chufak ushi ashamohli,(n),pin cushion
chufak ushi nushkobo a?sha,(n),pin
chuhlakto,(adj),
chukani,(n),fly (the insect)
chukani isht ?bi,(n),fly swatter
chukanushi,(n),maggot
chukbi,(n),corner
chukbikachi,(v),"to make a corner (on a basket), corner (a chicken, etc.)"
chukcho,(n),maple
chukchuli,(v),to tickle (someone)
chukfi,(n),rabbit
chukfi haksobish falaya,(n),jackrabbit
chukfi hishi,(n),wool
chukfi luma,(n),cottontail rabbit
chukfi nipi,(n),rabbit meat
chukfi oka aiasha,(n),swamp rabbit
chukfikoa,(v),
chukfoloha,(v),to be dizzy
chukf?lhpoba,(n),sheep
chukf?lhpoba apes?chi,(n),shepherd
chukf?lhpoba hishi,(n),wool
chukf?lhpoba ushi,(n),lamb
chu?ki,(n),purple martin
chukka,(n),"house, home, building"
chukka abaiya,(n),"a vagabond, vagrant, homeless person, bum"
chukka abaiy?chit a?ya,(v),"to go from one home to another, visit around, roam from house to house"
chukka abaiy?chit a?ya,(n),"a vagabond, hobo, homeless person, bum"
chukka ab?ska,(n),casino
chukka ach?ffa,(n),"family, household"
chukka apanta,(n),neighbor
chukka asha,(n),"those in a home, a household"
chukka atalaya,(n),place where a house sits: foundation of a house
chukka chito,(n),"a building, big house"
chukka holmo,(n),the roof of the house
chukka i? pota,(n),landlord
chukka ia,(v),to go home
chukka ikbi,(n),carpenter
chukka ittabana,(n),"log cabin, log house"
chukka lukonli,(n),"neighborhood, community, settlement"
chukka pakna,(n),"housetop, top of a house"
chukka pota,(n),"tenant, renter"
chukka ?pishia,(n),a porch surrounding a house
chukkalissa,(n),an abandoned house
chukkowa,(v),"(one)  to enter, go in"
chukli,(v),to
chukp?lantak,(n),"tree frog, tree toad"
chukushpa,(n),gossip
chukushp?li,(v),"to gossip, slander"
chuk?ffi,(v),to pluck up by the root
chu?k?sh,(n),heart
chu?k?sh champuli,(n),sweetheart (a slang translation from English)
chu?k?sh hottupali,(v),"to hurt (someone’s) feelings, insult"
chu?k?sh ?pa,(n),
chula,(n),fox
chula ushi,(n),"a baby fox, kit"
Chulai,(n),July
chulhk?n,(n),spider
chulhk?n chito,(n),tarantula
chullosa,(v),to be very quiet
chullu?sa,(v),"to be serene, still, calm"
chulosa,(v),"to be quiet, calm, to subside, moderate"
chulu?sa,(v),to be quiet
Chun,(n),June
chunna,(adj),"skinny, thin (of a person or animal), lean, poor"
chupihlak,(n),
chu?sa,(n),
chushak,(n),"nape, back of the neck"
chushak hishi,(n),mane
ch?ffichi,(v),"to send (a person, an animal) off, drive off, make leave, cause to flee, banish"
ch?ffichi,(n),"driver, operator"
ch?kali,(v),to be pregnant (older term)
ch?kch?k,(n),a common type of small speckled woodpecker with a red head (smaller than )
ch?lakbi,(v),"to be rough, dry, stiff (of leather, etc.)"
ch?lantak,(n),
ch?la?wa,(n),Eastern fence lizard
ch?lla?ka,(v),"to scream hysterically, scream for an extended period"
ch?lukloha,(n),turkey
ch?mak! achi,(v),"to clang once (like a pan or bell), clank, clink, ring"
ch?makachi,(v),"to make a clattering noise (of a wagon, tin roof, kids with pots and pans)"
ch?naha,(v),to be coiled
ch?naha,(n),wheel
ch?nasha,(n),
ch?n?lli,(v),"to roll (of a wheel, etc.)"
ch?n?llichi,(v),to
ch?n?shik,(n),wasp
ch?sa?ha,(v),to hiss (like a rattlesnake)
ch?shak?chi,(v),"to rattle, make a rattling noise (of a rattlesnake, shell-shaker, etc.)"
ch?sh?p,(n),
,,
eho,,a marker meaning ?we all’ appearing before a verb to be all inclusive
enchil,(n),angel (from English )
Eplil,(n),April
eshi,(v),"to have, bear, possess (something), wear (eyeglasses), be using, carrying"
et a?sha,(v),(one) to be sitting (facing this way)
et hu?ssa,(v),to shoot this way
et ima,(v),to give to (someone) in the direction of the speaker
et pisa,(v),to look this way
,,
fab?ssa,(adj),
fab?ssoa,(adj),long and slender (of two or more)
fahak?chi,(v),"to swing slowly, make a vibrating sound (as of a fan, etc.)"
fahama,(v),"to swing, take a swing (with the arm, a bat, etc.)"
fahata,(v),to swing
fahat?chi,(v),"to swing (a child, etc.)"
fahli,(v),"to wave (the hand), shake (the head), wag (the tail)"
fahpo,(n),
fakobli,(v),to
fakopa,(v),
falakto,(n),"fork (of a tree), notch, crotch"
falama,(v),"(one) to return, go back, turn back, revert, recoil, relapse"
falamoa,(v),
falam?t,(adv),back
falam?t ia,(v),"(one) to go back to, return to (another place)"
falam?t minti,(v),"to be coming back, returning"
falam?t okcha,(v),to
falam?t okcha?ya,(v),
falam?t okcha?ya,(n),
falam?t ona,(v),(one) to return there
falam?t pisa,(v),"to look back at (someone), look again"
falam?t ?la,(v),"(one) to come back here, get back, return here"
falaya,(adj),"long (of one), lengthy"
faloha,(v),(two or more) to be long
faloha,(adj),long (of two or more)
fal?mmi,(n),north
fal?mmichechi,(v),to cause (someone) to return
fal?mmichi,(v),"to return (something), reflect (something) back"
fal?mminchit,(adv),"back (to the original condition), back to the origin"
fal?mminchit bohli,(v),to put back
fal?mminchit hokli,(v),to
fal?mminchit ishi,(v),to
fal?mminchit okch?li,(v),to
fal?mmint,,back (in direction)
fat?mmi,(v),to
fayok?hanchi,(v),"to waver, rock, wobble (of a wheel, etc.), stagger (as of a drunk person)"
fehna,(adv),"very much, really"
fehn?chi,(v),"to make much of, be proud of"
Fibuali,(n),February
fichak,(n),dew
fichapa,(v),"to branch off, fork, turn aside"
fichik,(n),"star, planet"
fichik heli,(n),
fichik hika,(n),
fichik lukoli,(n),a constellation
fichik pohlulli,(n),meteor shower
Filanchi,(n),
filema,(v),"to turn over once (of a baby, car, etc.)"
filemoa,(v),"to turn over repeatedly (of a baby, etc.)"
filemoli,(v),"to turn (something) over repeatedly, turn around or about"
filemo?t pisa,(v),to look from side to side
filem?t ittonla,(v),"(one) to be lying turned over, face down"
filimmi,(v),"to turn (something) over or around once, flip (an egg, etc.)"
fil?mmi,(v),
fil?mmichi,(v),to make separate
fima,(v),"to be scattered (of seeds, etc.), sown, strewn, sprinkled, dispersed"
fimibli,(v),"to spray, sprinkle (water, etc.), scatter"
fimipa,(v),"to spray (of water, etc.)"
fimmi,(v),"to scatter (several), sow, sprinkle, disperse, broadcast (seeds, a radio show), send out, sprinkle (sugar, water)"
fiohumpa,(v),"to be barely breathing, still breathing"
fiopa,(v),to breathe
fiopa,(n),breath
fiopa k?llo,(v),to breathe hard
fitukhak,(n),
Flaiti,(n),Friday
fochah?chi,(v),to make a scratching noise on the bark of a tree (as of a squirrel climbing a tree)
foha,(v),"to rest, take a break, retire"
fohachi,(v),"to cause to rest, rest (one’s mind, etc.), dismiss, recess"
fohobli,(v),"to pour (a liquid, nails, etc.), dump (firewood, etc.), unload"
fohopa,(v),"to be poured out (of a liquid, etc.), unloaded"
foi,(n),bee
foi bila,(n),honey
foi bila hakshup,(n),honeycomb
foi ishki,(n),honey bee
foi ishki ippokni,(n),queen bee
foka,(adj),"at around (a time, place, or degree), about, around (an amount)"
fokali,(v),at around (a time)
fokka,(v),to put on (clothes)
fokka,(v),(one) to be inside of (something)
fo?kka,(v),to be wearing (clothes)
fo?kka,(v),(one) to be inside of (something)
fokki,(v),to put (one) into
fokkichi,(v),"to cause to go in (something), put or place into (as a child into a seat), insert, inject (grease, oil, etc.), anoint"
fokk?chi,(v),"to put (pants, etc.) on (a child, etc.)"
fokk?t a?ya,(v),"(one) to ride, go in (a car, etc.)"
folok?chi,(v),"to sway back and forth, agitate (of a washing machine, etc.), move about"
folota,(v),to turn around
folotoho?wa,(v),to turn around and around (as of a merry-go-round)
folotoli,(v),to turn (something) around or away from
folotowa,(v),to go around
folotowa,(v),"to zig-zag, turn side-to-side"
folulli,(v),"to turn (a wheel, wagon, etc.)"
folullichi,(v),"to turn (a wheel, car, etc.) around"
foni,(n),bone
foni lupi,(n),
fotoha,(v),"to be cranked, wound (of a wheel, etc.)"
fotoli,(v),to grind (coffee)
fuli,(n),"a switch (for whipping someone), twig, sprig, rod"
fulli,(v),to
fullota,(v),to go all the way around
fullot?t a?ya,(v),"to wander, meander and return"
fullot?t ?la,(v),(one) to wander around and return
fulup,(n),shoulder (section from the top of the shoulder to the elbow)
f?la,(n),crow
f?la im issito,(n),mayapple
f?ma,(v),to be whipped
f?mmi,(v),he/she is whipping (someone)
f?ni,(n),squirrel
f?ni i? sh?pha,(n),mistletoe
f?ni lakna,(n),fox squirrel
f?ni lusa,(n),
f?ni walakshi,(n),squirrel dumpling
,,
habena,(v),"to receive (a present, prize, etc.)"
haben?chi,(v),to give (a present)
haben?chi,(n),a giver
habli,(v),"to kick, stamp, trample"
hachot?kni,(n),
hachukhlampuli,(n),
hahka,(v),
haiaka,(v),"to appear, become visible, clear, revealed"
haiaka,(n),"the woods, the backwoods, wilderness, the forest"
haiunt?lali,(n),
haiya,(n),brother’s wife
haiyaka,(v),"to finally showed up, be visible"
haiyi?hchi,(n),kidney
haiyi?hchi t?li,(n),kidney stone
haiyip,(n),"pond, farm pond"
haiyu?kpulo,(n),"weed, herb, plant"
haiyup,(n),twins
hakchobihlepa,(v),"to bow down, become prostrate"
hakchobilhka,(v),"to kneel, bow or bend at the knee"
hakchopilhk?pi,(n),dogwood tree
hakchuma,(n),tobacco
hakchuma ashu?ka,(n),tobacco pipe
hakchuma bota,(n),snuff
hakchuma holba,(n),
hakchuma hopa?sa,(n),chewing tobacco
hakchuma shu?ka,(n),"a smoker, person who smokes"
ha?kha,(n),
hakhlopish,(n),
haklo,(v),to listen
ha?klo,(v),to hear (something)
haklot i? hl?kuffi,(v),"to mishear, be misinformed"
haklot pisa,(v),to try to hear
haklot takanli,(v),(one) to be leaning to hear (someone)
haklot tib?lli,(v),"to hear bits and pieces (of a conversation), hear intermittently"
haknip,(n),"body, trunk of the body"
haknip achukma,(v),to be healthy
haknip foni,(n),"bones of the body, skeleton"
haknip l?shpa isht ?lhpisa,(n),body thermometer (new word)
hakshish,(n),root
hakshup,(n),"skin, outer surface"
hakshup t?bli,(v),to cut leather or skin
haksi,(v),"to be drunk, intoxicated, stunned, disoriented, confused, cunning, wicked, evil, deceitful"
haksi,(adj),"drunk, intoxicated, stunned, disoriented, confused, cunning, wicked, evil, deceitful"
haksi ahoba,(v),to appear drunk
haksichi,(v),"to trick, cheat, deceive, get (someone) drunk, confuse (someone)"
haksoba,(v),"to be noisy, loud"
haksobali,(v),"to make noise, make a racket (by screaming, talking, playing, etc.), be noisy, loud"
haksobish,(n),ear
haksobish anu?ka,(n),inner ear
haksobish falaya,(n),"animal with long ears: mule, donkey, jackrabbit, hound dog"
haksobish hottupa,(n),earache
haksobish isht l?pachi,(n),ear plug
haksobish l?pa,(v),to be deaf
haksobish takali,(n),earring
haksobish walohbi,(n),
haktampi,(n),armpit
halambia,(n),five-lined skink (a common lizard having a blue tail when young)
halampa,(n),ringworm
haleli,(v),"to brush (the arm, head, elbow, etc.) against (something), touch (without using the hands)"
halito,(interj),hello
haluppa,(v),"to be sharp (of a knife, etc.)"
hal?lli,(v),to pull (something)
hal?llichi,(v),"to make (a team of horses, etc.) pull"
hal?llit kuchi,(v),to pull out (something)
hal?sbi,(v),"to be smooth, slick, slippery (of a floor, etc.)"
hal?sbichi,(v),"to make (something) smooth or slick, iron (a shirt, etc.)"
hanahchi,(v),to
hanali,(n),leg
hannali,(num),six
haponaklo,(v),"to listen to, pay attention to"
hato?f?laha,(n),onion
hato?f?laha nukshopa,(n),wild onions
hattak,(n),"a person, a human, human kind"
hattak foni,(n),"human bones, skeleton"
hattak himithoa,(n),young men
hattak himitta,(n),young man
hattak hob?k,(n),"a castrated man, eunuch, unmanly man, coward"
hattak hohpi,(n),
hattak holhtina,(n),
hattak holitopa,(n),
hattak hopoksa,(n),
hattak ik halelo,(n),a virgin
hattak ilap bano,(n),a single man
hattak ilb?sha,(n),
hattak illi,(n),"corpse, dead person, human remains"
hattak intakobi,(n),a lazy man
hattak kostini,(n),
hattak lawa,(n),"a crowd, multitude"
hattak lusa,(n),"a black person, African American"
hattak moiyoma,(n),"everyone, all people"
hattak nan ash?chi,(n),
hattak nan ikh?na,(n),"an educated person: lawyer, attorney, etc."
hattak okishko,(n),"a drunkard, drunk"
hattak okla,(n),"the people, mankind, humanity"
hattak shali,(n),"someone or something that transports people: shuttle, shuttle driver, cab driver, taxi, bus, van, car"
hattak shaui,(n),"ape, monkey"
hattak sipokni,(n),old man
Hattak Ushi,(n),
hattak ?bi,(v),"to kill a person, murder a person"
hattak ?bi,(n),
hattak ?hleha,(n),"all human kind, humanity"
hattak ?lhtakla,(n),widower
Hattak ?pi homma,(n),"Native American, American Indian, First Nations"
hattak ?ss?no,(n),an adult man
hattak ?ss?nochi,(n),"an old man, elderly person"
hattak yuka,(n),"prisoner, captive, slave"
hattak yushobli,(n),snail
haui,(n),a prostitute
hawa,(v),to yawn
ha?wa,(n),"a small type of locust, cicada"
ha?wa,(v),to be yawning
haw?shko,(v),"to be sour, rancid"
haw?shko,(adj),"sour (of milk), tart, acidic"
hayochi,(v),"to have a seizure, a fit, convulsion"
hayochi,(adj),rabid
hek?t a?hli,,"that’s true, that’s right (from )"
heli,(v),"to fly (of two or more birds, etc.), fly around (of hair, debris, etc.)"
helichi,(v),"to make (papers, hair, etc.) fly around"
hichi,(n),a boil
hichukbi,(n),"a hole in the ground, pit, cave"
hi?ha,(v),"to moan, neigh (of a horse)"
hihkia,(conj),"nevertheless, even so (possibly from )"
hihla,(v),to dance
hihla,(n),dancer
hika,(v),"to take a step, step off"
hika,(v),(one) to fly
hika,(n),gum
hiki?a,(v),"(one) to be standing, to be stopped, parked (of one car, etc.)"
hiki?a na ia,(v),to leave (one) standing there
hikia!,(v),stand up! (said to one)
hik?pi,(n),gum tree
hilechi,(v),"to stand (one) up, erect, put in (a flag pole)"
hiloha,(v),to thunder
hiloha,(n),thunder
himak,,"now, the present, modern, this (used with a time word)"
himak a?,(adv),now
himak h?shi,(n),
himak ninak,(n),
himak nittak,(n),"today, nowadays"
himak pilah ma?,(adv),"from now on, from this time forward, in the future, never again (with a negative)"
himak pilla,(n),the future
himak pillakma?,(adv),"from now on, henceforth, in the future"
himithoa,(adj),young (of two or more)
himitta,(v),to be young
himitta,(adj),young (of one)
himmak,(adv),"later, afterward"
himmakma?,(adv),ever again
himona,(v),to be new
himona,(adj),"new, fresh, newborn"
himonna,(adv),"once, one time"
himonnah ma?,(adv),"once, one time"
himon?chi,(v),"to be making (something) new, renovate, rejuvenate"
himon?si,(v),"now, right now"
hina,(n),"road, path, way, street, avenue, pass, furrow, row"
hina b?chaya,(n),roadway
hina chito,(n),"highway, interstate freeway"
hina isht ?nnoa,(n),"guide to a road: map, signs, etc."
hina okfowata,(n),a crossroad
hina p?tha,(n),highway
hinak,(n),
hinak bitepuli,(n),rainbow
hinli,(v),(two) to be standing
hinushi,(n),"path, trail"
hiohchi,(v),"to stand, erect, set (several poles) in the ground"
hiohli!,(v),stand up (said to three or more)!
hiohma?ya,(v),"to be standing around (of three or more people, cars, trees, houses, cattle, etc.)"
hishi,(n),"body hair, hair on the body below the head"
hituchina,(adv),"three times, third"
hituk,(n),"powder, gunpowder"
hituk chobi,(n),"dust, ash, ashes"
hituk chubi hoiya,(n),
hituk lakna,(n),"sulphur, brimstone"
hituk lusa,(n),toner (for a printer) (new word)
hitukla,(adv),"twice, two times, second"
hla?fa,(n),"line, mark"
hla?ffi,(v),to make
hlahk?chi,(n),"marks (on a wall or tree, for example)"
hlali,(v),to
hlampko,(v),"to be strong, forceful, athletic, stout"
hlampko,(n),strength
hlatapa,(adj),"poured, spilled"
hlatapa,(v),"to be spilled (of water, etc.)"
hlat?bli,(v),"to pour, spill (a liquid or two or more nuts, beads, etc. from a container, once)"
hlaya,(adj),
hleli,(v),to
hlelichi,(v),to
hlihli,(v),
hlilafa,(adj),torn
hlilahli,(adj),"torn in many pieces, shredded, tattered, mangled, rent"
hlillichi,(v),to
hlil?ffi,(v),"to tear (paper, cloth, etc.), lacerate"
hliohli,(v),"to chase (something), pursue"
hlipa,(v),"to be used, second-hand (of clothes, etc.), worn out"
hlipa,(adj),"old (not new), worn out, thread-bare"
hlipili,(v),"to turn (a pot, dishpan, etc.) bottom side up, turn over, flip over, knock over (a glass of milk, etc.)"
hlipiya,(v),"to bend over, lie flipped over or face down"
hlipi?ya,(v),"to be bent over, be lying flipped over or face down"
hliposhi,(v),"to be puny, feeble, lethargic, to be drooping (of a plant)"
hliposhi,(adj),"sickly, frail, low spirited"
hlitofa,(v),"to be untied (of a rope, etc.)"
hlitoffi,(v),"to untie (a rope, etc.)"
hlo?ffi,(v),"to skin (a squirrel, deer, rabbit, etc.)"
hlokachi,(v),"to whip (a horse), switch"
hlokafa,(v),"to be pierced (of ears, etc.), have holes in them"
hlok?ffichi,(v),to pierce (the ear)
hlola?ka,(v),to cry out
hlopulli,(v),"to go through (a door, etc.), cross, pass over, endure, undergo"
hlopullichi,(v),"to put (a needle, etc.) through (fabric, leather, etc.), make go through (something), penetrate"
hlopullit a?ya,(v),"(one) to go through (several rooms, etc.)"
hluboa,(adj),"round (of a potato or egg), plump"
hlubocha,(adj),"boiled (of an egg, etc.), cooked down"
hlubok?chi,(v),"to make the sound of bubbling, boiling"
hlubulli,(v),"to boil (of an egg, etc. in a liquid)"
hlulla?ka,(v),"to wail, really cry out, cry hysterically"
hlumbli,(v),"to pierce (fabric, leather, wood, etc.), make a hole in, perforate"
hlumpa,(v),"to be pierced, punched through (of a cane, etc.)"
hl?ba?ka,(v),to snore
hl?chak! achi,(v),"to click (of a gun, something metal, or an axe entering a tree)"
hl?chak! at ishi,(v),"to grab (something) quickly, snatch it away, catch"
hl?chowa,(n),a sore
hl?chowa k?llo,(n),an ulcer
hl?kuffi,(v),"to heal, get better, recover"
hl?kuffichi,(v),"to heal (someone), rescue, deliver"
Hl?sti,(n),Thursday
hl?w?lli,(v),"to play (of two or more playing tag, scuffling, etc.)"
hobachi,(v),"to copy, imitate (someone)"
hobechi,(v),"to steam (stale biscuits), make it steam (as in a sauna)"
hobi,(adj),"boiled whole (of eggs, potatoes, etc.)"
hob?k,(adj),castrated
hochefo,(v),"to name (someone), call (someone) by name"
hochefochi,(v),to make (someone) read
hochito,(adj),"big (of two or more), large, great, huge"
hochowa,(v),to feel
hochukma,(v),"(two or more) to be good, nice, excellent, pleasant, do well"
hochukma,(adj),"good (of two or more), nice, excellent, pleasant"
hofahya,(v),"to be bashful, shy, embarrassed, ashamed"
hofahy?chi,(v),to make (someone) embarrassed or ashamed
hofahy?li,(v),"to shame (someone), degrade"
hofanti,(v),"to grow up (of animals, humans), increase in stature"
hofantichi,(v),"to rear, raise (a child or animal)"
hofantit ishtia,(v),to begin to grow
hofantit taha,(v),"to be grown up, fully grown, raised, or reared"
hofobi,(v),to be deep
hofobi,(adj),"deep, profound"
hof?lli,(v),"to hatch (of a chick, etc.)"
hohchifo,(v),to be named
hohchifo,(n),name
hohch?fo,(v),to be hungry
hohch?fo chito,(n),"famine, starvation"
Hohch?fo Chito,(n),the Great Depression
hohch?fot illi,(v),to starve to death
hohpi,(v),"to bury (a body, a bone, etc.)"
hohshuwa,(n),urine
hoiya,(v),"to drip, seep (of water, etc.), filter, strain"
hoiya,(n),a drop
hokchi,(v),"to plant (seeds, plants)"
hokli,(v),"to catch (a fish, ball, etc.), trap, grasp, grab"
ho?kli,(v),"to be holding (something), retaining, keeping, possessing, fastening"
hoklichi,(v),to make (someone or something) catch
hokmi,(v),"to burn, sear, scald (something)"
hokm?t,,if
hokni,(n),aunt
ho?kopa,(v),"to steal, rob, plunder (something)"
ho?kso,(v),"to pass gas, have flatulence"
holabi,(v),"to lie, tell a lie"
holafa,(v),to defecate
holakshi,(v),"to lick (something), lap"
holba,(v),"to be like, resemble"
holba,(adj),"resembling, similar, looking like"
holb?ttoba,(n),picture
holb?ttoba inchunli,(n),someone who paints pictures: an artist (new word)
holhpukna,(v),"to dream, see visions"
holhpukunna,(n),a dream
holhpuni,(n),a traditional dish made from boiled hominy
holhtina,(n),number
holihta,(n),fence
holihta b?chaya,(n),a fence line
holihta okhisa,(n),gate
holihtushi,(n),"a small lot (for an animal or garden), small pen"
holisso,(adj),"written, recorded, printed"
holisso apisa,(n),"school, school building"
holisso apisa chito,(n),"university, college"
holisso asilhha,(n),"a written request, petition"
holisso b?ska,(n),playing cards
holisso hlilafa,(n),"a slip of paper, ticket"
holisso hlilahli,(n),"scraps of paper, shredded paper"
Holisso Holittopa,(n),"the Holy Bible, Old and New Testaments"
holisso i? shukcha,(n),"pocket book, book bag, letter bag"
holisso isht inchu?wa,(n),"a printer (the machine), copier (new word)"
holisso isht kashochi,(n),toilet paper
holisso ittiba pisa,(n),"schoolmate, classmate"
holisso ittim anumpuli,(v),to read aloud to each other
holisso kashofa,(n),a divorce
holisso kashofa ima,(v),to give (a spouse) a divorce
holisso kashofa ishi,(v),to get a divorce
holisso pisa,(v),"to read, study"
holisso pisa,(n),"student, scholar, pupil"
holisso pisa shali,(n),school bus
holisso pisachi,(v),to teach
holisso pisachi,(n),teacher
holisso shali,(n),"mail carrier, postman"
holisso ?lhpisa,(n),legal document
holissochi,(v),"to write, compose, draft"
holissochi,(n),"secretary, clerk"
holitobli,(v),"to worship, praise"
holitoblichi,(v),"to set apart as sacred, bless, honor, hallow, exalt"
holitopa,(v),"to be holy, blessed, sacred, honored"
holitopa,(adj),"holy, blessed, sacred, honored"
holittopa,(v),"to be very precious, sacred, holy, highly esteemed"
holittopa,(adj),"very holy, sacred"
holluppi,(v),"to be buried (of a bone, body, etc.)"
holmo,(n),"a roof, a covering"
holo,(v),"to put on (socks, shoes, etc.), pull on"
holoya,(v),"to run through, drain (of spaghetti, etc.), leach, strain"
holoy?chi,(v),"to drain, cause to drain, filter, strain (spaghetti, etc.), percolate"
holushmi,(v),"to be burned, burnt"
homakbi,(v),to be purple
homi,(v),"to be spicy, hot, bitter, strong (of coffee), salty"
homi,(adj),"spicy, bitter, sour, strong (of coffee), pungent, brackish, salty"
homichi,(v),"to make bitter, strong, or spicy"
homihla,(v),to have a very bitter taste
homma,(v),to be red
homma,(adj),red
homm?chi,(v),"to make red, redden"
homm?chi,(adj),reddish
honi,(v),"to boil (potatoes, meat, etc.), stew, cook, brew"
honni,(adj),"boiled (of potatoes, etc.)"
honola,(v),"to twist (of a tornado, etc.), spin"
hopaii,(n),"prophet, fortune teller, military leader, war chief, general"
hopaki,(v),to be far (in space)
hopaki,(adj),"far, distant"
hopaki kash,(adv),a long time ago
hopaki oh chash,(adv),a long time ago
hopakikma?,(adv),a long time in the future
hopa?sa,(v),"to chew (tobacco, gum), to chew its cud (of a cow)"
hopela,(v),"to pass (something) out, distribute"
hopohla,(v),"to be comforted, calmed down (after crying), consoled"
hopohl?chi,(v),"to comfort, soothe (someone), console"
hopoho?ni,(v),to be cooking continuously (throughout the day)
hopoiyuksa,(v),"to be wise, sober, always have wisdom"
hopo?kiyo,(v),to look around
hopoksa,(v),"to be sober, transformed (spiritually), rehabilitated, domesticated (of an animal), tamed"
hopoksa,(adj),sober
hopoks?chi,(v),to tame (an animal)
hopoks?li,(v),to discipline (a child)
hoponi,(n),"a cook, chef"
hoponi,(v),to cook (general term)
hoshonti,(v),to be cloudy (of the sky)
hoshonti,(n),a cloud
hoshonti ohmi,(v),"to be like a cloud, indistinct"
hoshontika,(n),"the shade, a shadow"
hosho?wa,(v),"to urinate, pee"
